680  [main] INFO  com.api.ServiceApiApplication - Starting ServiceApiApplication on IFEBIUG8DTWU7X6 with PID 6748 (D:\api\target\classes started by Administrator in D:\api)
680  [main] INFO  com.api.ServiceApiApplication - Starting ServiceApiApplication on IFEBIUG8DTWU7X6 with PID 6748 (D:\api\target\classes started by Administrator in D:\api)
683  [main] INFO  com.api.ServiceApiApplication - The following profiles are active: dev
683  [main] INFO  com.api.ServiceApiApplication - The following profiles are active: dev
969  [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@293a5bf6: startup date [Mon Jul 17 14:21:40 CST 2017]; root of context hierarchy
1014 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final
609  [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final
1183 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'managementServletContext' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.actuate.autoconfigure.EndpointWebMvcHypermediaManagementContextConfiguration; factoryMethodName=managementServletContext; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/actuate/autoconfigure/EndpointWebMvcHypermediaManagementContextConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.actuate.autoconfigure.EndpointWebMvcAutoConfiguration; factoryMethodName=managementServletContext; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/actuate/autoconfigure/EndpointWebMvcAutoConfiguration.class]]
1451 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'serviceApiApplication' of type [com.api.ServiceApiApplication$$EnhancerBySpringCGLIB$$6e0d3e9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
1577 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSource' of type [org.apache.tomcat.jdbc.pool.DataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
1710 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionFactoryBean' of type [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
1720 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatis-org.mybatis.spring.boot.autoconfigure.MybatisProperties' of type [org.mybatis.spring.boot.autoconfigure.MybatisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
1725 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration' of type [org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration$$EnhancerBySpringCGLIB$$a466c8aa] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
1733 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionTemplate' of type [org.mybatis.spring.SqlSessionTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
1734 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
1735 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'courseMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
1737 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'courseKpointMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
1738 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'classInfoMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
1739 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'templateFileMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
1741 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'teachesrMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
1742 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sysUserMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
1743 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'subjectMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
1745 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'msgSystemMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
1746 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'msgReceiveMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2108 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http)
2114 [main] INFO  o.a.catalina.core.StandardService - Starting service Tomcat
2115 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.14
2188 [localhost-startStop-1] INFO  o.a.c.c.C.[.[.[/service-api] - Initializing Spring embedded WebApplicationContext
2188 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1621 ms
2360 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2363 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'metricsFilter' to: [/*]
2363 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2363 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2363 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2363 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2363 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'webRequestLoggingFilter' to: [/*]
2363 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'applicationContextIdFilter' to: [/*]
2673 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
2681 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2716 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.0.12.Final}
2717 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2718 [main] INFO  org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
2740 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2836 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
3461 [main] INFO  o.h.tool.hbm2ddl.SchemaUpdate - HHH000228: Running hbm2ddl schema update
5207 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
6032 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@293a5bf6: startup date [Mon Jul 17 14:27:14 CST 2017]; root of context hierarchy
6040 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Detected ResponseBodyAdvice bean in org.springframework.boot.actuate.autoconfigure.EndpointWebMvcHypermediaManagementContextConfiguration$ActuatorEndpointLinksAdvice
6061 [main] INFO  c.api.interceptor.WebAppConfigurer - ==========WebAppConfigurer正在启动
6061 [main] INFO  c.api.interceptor.WebAppConfigurer - ==========WebAppConfigurer正在启动
6094 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/file/greeting]}" onto public java.lang.String com.api.controller.FileController.greeting(java.lang.String,org.springframework.ui.Model)
6095 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/file/upload]}" onto public com.api.model.common.Result com.api.controller.FileController.upload(javax.servlet.http.HttpServletRequest,org.springframework.web.multipart.MultipartFile,java.lang.Integer)
6095 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/file/download],methods=[GET]}" onto public java.lang.String com.api.controller.FileController.downloadFile(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,java.lang.String)
6095 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/file/batch/upload],methods=[POST]}" onto public java.lang.String com.api.controller.FileController.handleFileUpload(javax.servlet.http.HttpServletRequest)
6095 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/MsgReceive/insertMsgReceive],methods=[POST]}" onto public com.api.model.common.Result com.api.controller.system.MsgReceiveController.selectAll(java.lang.String,com.api.model.system.letter.MsgReceive) throws java.lang.Exception
6095 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/msgSystem/addMsgSystem],methods=[POST]}" onto public com.api.model.common.Result com.api.controller.system.MsgSystemController.addMsgSystem(com.api.model.system.letter.MsgSystem)
6096 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/msgSystem/selectMsgSystem],methods=[POST]}" onto public com.api.model.common.Result com.api.controller.system.MsgSystemController.msgSystemList(com.api.model.system.letter.MsgSystem,java.lang.Integer,java.lang.Integer)
6096 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/subject/addSubject],methods=[POST]}" onto public com.api.model.common.Result com.api.controller.system.SubjectController.addSubject(com.api.model.system.subject.Subject)
6096 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/subject/subjectList],methods=[GET]}" onto public com.api.model.common.Result com.api.controller.system.SubjectController.subjectList()
6096 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/subject/deleteSubject/{id}],methods=[DELETE]}" onto public com.api.model.common.Result com.api.controller.system.SubjectController.deleteSubject(int)
6097 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/subject/updateSubject],methods=[PUT]}" onto public com.api.model.common.Result com.api.controller.system.SubjectController.updateSubject(com.api.model.system.subject.Subject)
6097 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/subject/findSubject/{id}],methods=[GET]}" onto public com.api.model.common.Result com.api.controller.system.SubjectController.findSubject(int)
6098 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/teacher/addTeacher],methods=[POST]}" onto public com.api.model.common.Result com.api.controller.system.TeacherController.addTeacher(com.api.model.system.teacher.Teacher) throws java.lang.Exception
6098 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/teacher/teacherList],methods=[GET]}" onto public com.api.model.common.Result com.api.controller.system.TeacherController.teacherList(java.lang.String,java.lang.Integer,java.lang.Integer)
6098 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/teacher/updateTeacher],methods=[PUT]}" onto public com.api.model.common.Result com.api.controller.system.TeacherController.updateTeacher(com.api.model.system.teacher.Teacher)
6098 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/teacher/delTeacher/{id}],methods=[DELETE]}" onto public com.api.model.common.Result com.api.controller.system.TeacherController.delTeacher(int)
6099 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/teacher/findTeacher/{id}],methods=[GET]}" onto public com.api.model.common.Result com.api.controller.system.TeacherController.findTeacher(int)
6099 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/template/showTemplatefileAddress/{type}],methods=[GET]}" onto public com.api.model.common.Result com.api.controller.system.TemplateFileController.showTemplatefileAddress(int)
6099 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/template/addTemplateFile],methods=[POST]}" onto public com.api.model.common.Result com.api.controller.system.TemplateFileController.addTemplateFile(javax.servlet.http.HttpServletRequest,com.api.model.system.TemplateFile)
6099 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/template/isExist/{type}],methods=[GET]}" onto public com.api.model.common.Result com.api.controller.system.TemplateFileController.isExist(java.lang.Integer)
6100 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/class/addClass],methods=[POST]}" onto public com.api.model.common.Result com.api.controller.teacher.ClassInfoController.addClass(com.api.model.system.teacher.ClassInfo)
6100 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/class/findClass/{id}],methods=[GET]}" onto public com.api.model.common.Result com.api.controller.teacher.ClassInfoController.findClass(int)
6100 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/class/updateClass],methods=[PUT]}" onto public com.api.model.common.Result com.api.controller.teacher.ClassInfoController.updateSubject(com.api.model.system.teacher.ClassInfo)
6100 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/class/classList],methods=[GET]}" onto public com.api.model.common.Result com.api.controller.teacher.ClassInfoController.classList(java.lang.Integer,java.lang.String,java.lang.Integer,java.lang.String,java.lang.Integer,java.lang.Integer,com.api.model.system.teacher.ClassInfo) throws java.text.ParseException
6100 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/class/deleteClass/{id}],methods=[DELETE]}" onto public com.api.model.common.Result com.api.controller.teacher.ClassInfoController.deleteClass(int)
6101 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/course/findCourseKpoint/{courseId}],methods=[GET]}" onto public com.api.model.common.Result com.api.controller.teacher.CourseController.findClass(int)
6102 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/course/notRecommendedList],methods=[GET]}" onto public com.api.model.common.Result com.api.controller.teacher.CourseController.notRecommendedList(java.lang.Integer,java.lang.String,java.lang.Integer,com.api.model.teaching.course.Course,java.lang.Integer,java.lang.Integer) throws java.text.ParseException
6102 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/course/deleteCourseKpoint/{courseKpointId}],methods=[DELETE]}" onto public com.api.model.common.Result com.api.controller.teacher.CourseController.deleteCourseKpoint(int)
6102 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/course/updateCourseKpoint],methods=[PUT]}" onto public com.api.model.common.Result com.api.controller.teacher.CourseController.updateCourseKpoint(com.api.model.teaching.kpoint.CourseKpoint)
6102 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/course/joinRecommendation],methods=[POST]}" onto public com.api.model.common.Result com.api.controller.teacher.CourseController.joinRecommendation(java.lang.String)
6102 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/course/cancelRecommendation/{courseId}],methods=[PUT]}" onto public com.api.model.common.Result com.api.controller.teacher.CourseController.cancelRecommendation(java.lang.Integer)
6102 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/course/courseList],methods=[GET]}" onto public com.api.model.common.Result com.api.controller.teacher.CourseController.courseList(java.lang.Integer,java.lang.String,java.lang.Integer,java.lang.String,java.lang.String,com.api.model.teaching.course.Course,java.lang.Integer,java.lang.Integer) throws java.text.ParseException
6102 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/course/addCourse],methods=[POST]}" onto public com.api.model.common.Result com.api.controller.teacher.CourseController.addCourse(com.api.model.teaching.course.Course)
6103 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/course/courseKpoints/{kpointId}],methods=[GET]}" onto public com.api.model.common.Result com.api.controller.teacher.CourseController.courseKpoints(int)
6105 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/course/addCourseKpoint],methods=[POST]}" onto public com.api.model.common.Result com.api.controller.teacher.CourseController.addCourseKpoint(com.api.model.teaching.kpoint.CourseKpoint)
6105 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/course/deleteCourse/{courseId}],methods=[DELETE]}" onto public com.api.model.common.Result com.api.controller.teacher.CourseController.deleteCourse(int)
6105 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/course/updateCourse],methods=[PUT]}" onto public com.api.model.common.Result com.api.controller.teacher.CourseController.updateCourse(com.api.model.teaching.course.Course)
6105 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/course/recommendList],methods=[GET]}" onto public com.api.model.common.Result com.api.controller.teacher.CourseController.recommendList(java.lang.Integer,java.lang.String,com.api.model.teaching.course.Course,java.lang.Integer,java.lang.Integer) throws java.text.ParseException
6106 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/sysUser/register]}" onto public com.api.model.common.Result com.api.controller.user.SysUserController.register(com.api.model.teaching.system.SysUser,org.springframework.validation.BindingResult) throws java.lang.Exception
